,Наименование категории,Суть обращения
2237,дорожное хозяйство,"'@admefr @Tularegion71 О чём вы говорите? Какая уборка? Убирать надо было раньше, а ни когда на асфальте уже куски льда и ездить невозможно. Не морочьте людям голову своими фотоотчётами.'"
2238,дорожное хозяйство,"'@admefr @Tularegion71 Здравствуйте.<br>Подскажите а что входит в понятие ""снегоуборочные работы в Ефремове""? Это только сдвиг снега от центра дороги к её краю, или же помимо сдвига в понятие уборка входит и вывоз надвинутого на край дороги снега?'"
2239,дорожное хозяйство,"'@admefr @Tularegion71 А как же деревни??? Или асфальта нет, значит можно не чистить!? Снег с пятницы идёт, а Пушкари почистили, только, вчера.'"
2240,дорожное хозяйство,"'@Efremovets @admefr @Tularegion71 Именно сдвиг снега. Лёд, который образовался давным давно, никого не интересует, в общем-то как и наши комментарии.'"
2241,дорожное хозяйство,'Уважаемая администрация когда в гододе будут чистить пешеходные дорожки??? А то в можно ездить на коньках!'
2242,дорожное хозяйство,"'Кругом месиво из снега и песка,где чистили то? Центральные дороги?Свердлова и Ленина?'"
2243,дорожное хозяйство,"'И пирамиды Хеопса на площади.Вывести что ли некуда,или ждём когда таять начнёт и вся гадость в Красивую Мечу стечёт?'"
2244,дорожное хозяйство,"'Богаевский мост вообще не чистят<br />Там постоянно лужи ,   пройти невозможно'"
2245,дорожное хозяйство,"'В Ефремове тротуары не чистят, уж предродовые территории тем более, люди в лужах утопают, а если мороз вообще все замёрзнет и ноги переломаешь'"
2246,дорожное хозяйство,'Чапаева 42 улица тротуар вообще не чистился и не посыпался. Все дни скользко ужас'
2247,дорожное хозяйство,'У нас на кольцова 3а ни кто не чистил своими силами что бы выехать из двора вот так то'
2248,дорожное хозяйство,"'Пос.Ленинский чищен кусками, а из дома по ул.Пушкина д.4 выйти не возможно🤧'"
2250,дорожное хозяйство,"'Курьез наблюдал сегодня утром. Дорогу ещё почистить не успели (ул Циолковского), а по тротуару уже трактор прошел.'"
2251,дорожное хозяйство,"'Куда обратиться с просьбой чистить тратуар на забытой улице, где живут старики (п.Ленинский, ул.Луговая)'"
2252,дорожное хозяйство,"'Здравствуйте, куда обращаться по поводу не чистки дорог?дорога ""Бородинский-подосинки"" вобще не очищена,разьехаться машинам не возможно.'"
2254,дорожное хозяйство,"'Дворы никто не чистил и по ходу не собирается. В субботу утром (9:00-9:15) проехал трактор по пешеходной дорожке идущей вдоль дороги (улицы) и всё. Дворников нет, техники нет. ""Жилцентр"" ещё празднует судя по всему.'"
2256,дорожное хозяйство,"'Управляющие компании ещё празднуют Новый год видимо! Возле дома и подъездов Кирова 5а ужасный гололёд. Лёд не то что не отбивают на ступеньках у подъезда, так даже посыпать не могут, пока кто-то ноги и руки не поломает! Накипело! С Новым годом🎄 завтра не приведут в порядок это всё, буду губернатору звонить😉'"
2257,дорожное хозяйство,"'Уважаемая АДМИНИСТРАЦИЯ, наведите пожалуйста порядок !!! Многочисленные обращения к совести служащих МЧС никакого отклика не возымело. Они счищают снег со своей территории прямо на проезжую часть создавая при этом аварийную ситуацию на дороге, кроме того после расчистки сих сугробов, которые кстати сгребаются к нашим домам, нам приходится чистить их врукопашную...<br>Без названия'"
2258,дорожное хозяйство,"'Здравствуйте!у меня такой вопрос почему на п.Центральном по ул.Маяковского в д.12 и 12а снегоуборочная машина почистила снег,а 14а нет,этот дом что какой то особенный?не возможно даже пройти,жильцы дома лопатами чистят,пожалуйста примите меры!за ранее спасибо'"
2259,дорожное хозяйство,"'Здравствуйте куда обратиться в Суворовском районе с. Кулешова снег почистили только на асфальте,и по новым домам, а по домам и порядкам которые находятся чуть дальше, нечищено, ходить уже тяжко по такому, а на легковой машине еле можно проехать, весь снег собирается под защитой двигателя. К кому мне обратиться с такой просьбой чтоб хоть проехались и почистили снег.'"
2260,дорожное хозяйство,'Добрый день! Опубликуйте пожалуйста в группе актуальные телефоны диспетчерской куда можно обратиться по уборке снега. Спасибо!'
2261,дорожное хозяйство,'Во дворах по проспекту мира не чищено вообще!!!ни дорога для машин ни тротуары!!!!За что мы платим?!!!анон'
2263,дорожное хозяйство,"'Ну площадь не обработана вообще(((((и в парке тоже ,идти просто не выносимо,просто каток ,наверное в Дубне закончился песок'"
2264,дорожное хозяйство,'Когда в Воскресенск посыпят дороги пройти нельзя. Как корова на льду... Не по одной улице... Ужас... И за что платить... Токо цены повышает... А работу не выполняете свою...'
2265,дорожное хозяйство,"'Когда будут обработаны дороги от наледи???? в ЕДДС ответ один, не справляются. Кто будет отвечать за исход от необработанной дороги для пешеходов?Люди выходят на проезжую часть! Хирурга в Дубне нет! Рентген сделать некому!'"
2266,дорожное хозяйство,"'Здравствуйте,улицу Привокзальную на станции чистить будут?Мы сейчас еле домой заехали,машину таскает,еще немного и сядем на брюхо.<br>На улице проживают 2 семьи с инвалидами по здоровью и семья с малолетними детьми'"
2267,дорожное хозяйство,"'Здравствуйте, объясните, пожалуйста, почему по району не почищены от снега дороги? Ехала в 10 утра, не с Дубны до Воскресенска дорога не чищена, не с Воскресенска в сторону Суворова, машину на этих сугробах несёт, случаются аварии. Почему в Одоевском и Суворовском районах работа выполнена, а в нашем нет?'"
2268,дорожное хозяйство,'Виктор !! Полностью согласна с вами . Вчера с ребёнком ели прошли по ул Молодёжной .'
2269,дорожное хозяйство,"'Админ,добра и пропусти плиз. Хочется получить ответ от нашей Администрации,Когда будут обработаны дороги от наледи???? в ЕДДС ответ один, не справляются. Обработана только Площадь! Кто будет отвечать за исход от необработанной дороги для пешеходов?Люди выходят на проезжую часть! Хирурга в Дубне нет! Рентген сделать и прочитать правильно - некому! Люди летать пока не научились)'"
2271,дорожное хозяйство,"'@amo_venev_rayon @Tularegion71 Тротуар по Бундурина - лёд, утоптан снег - скользко. Народ даже уходит на дорогу с тротуара. https://t.co/joxhTke87b'"
2272,дорожное хозяйство,"'@amo_venev_rayon @Tularegion71 @tulactive Это ложь!!! В течение всего дня и до самого вечера 11.01.2020 шел снег, который расчищался жителями дома, лично я выходил трижды. Дворник+трактор появились в понедельник 13.01.2020 в первой половине дня, появились, убедились что двор расчищен и уехали-ушли>>'"
2273,дорожное хозяйство,"'@amo_venev_rayon @Tularegion71 @novomoskovsk Перед автобусом в сторону Новомосковска ехала машина посыпала, в Грицовский самом и на дороге из него ни песчинки, сюда не доезжают? Территория не Новомосковска? #гололед71 #дорогиТО'"
2274,дорожное хозяйство,"'@Tularegion71 @tulactive Прошу подключиться к проблеме. Описанная ситуация носит системный характер. После снегопада на борьбу со стихией первыми выходят не коммунальные службы, а неравнодушные жители города. Через день въезды в их дворы заваливает трактор'"
2275,дорожное хозяйство,'@Tularegion71 @amo_venev_rayon Срочно @Tularegion71 @amo_venev_rayon выводите технику на прочистку дороги в поселке #грицовский и дороги по которой едет автобус 144!!! pic.twitter.com/RCjZ678X25'
2276,дорожное хозяйство,"'День добрый!Скажите,а как долго коммунальщик будут отмечать праздники!?Во дворах не просто наледь,а катки.Люди падают, пройти невозможно!!!Это микрорайон Северный,д 14,15'"
2277,дорожное хозяйство,'Что же так ужасно почищены улицы в поселке? Два месяца снега не видели и чистить разучились?'
2278,дорожное хозяйство,'Слегка погладили трактором ул.Автодорожную. Снег и ныне там.Хотелось бы что бы их зарплата соответствовала их работе.'
2279,дорожное хозяйство,"'Коммунальные службы вообще не работают, делай заявку в 112 или нет, хоть обзвонись ....<br>В итоге все своими силами'"
2280,дорожное хозяйство,"'Добрый день. В деревне Прокшино после снежных осадков не расчищается дорога, стоящая на кадастровом учете с номером 71:09:000000596. На текущий момент жизнедеятельность деревни парализована, в связи с высокими снежными сугробами на дороге. Просим оперативно расчистить дорогу и взять под контроль своевременную расчистку снежных осадков. В случае отсутствия обратной связи и решения вопроса, будем вынуждены обратиться в правоохранительные органы и к  вышестоящему правительству тульской области.'"
2281,дорожное хозяйство,"'Доброе время суток! В субботу 11 января выпало в первый раз за нынешнюю зиму очень приличное кол-во снега. Передвижение автотранспорта по территории Малахово-2 стало очень проблематичным. Планируется ли уборка снега на дорогах нашего населённого пункта? Спасибо и с уважением!<br>13-го в понедельник очень хотелось бы оказаться на рабочих местах, в школах и детсадах.'"
2282,дорожное хозяйство,"'Восточную так и не почистили. Домой с работы с трудом попали. Остается надеяться, что снег ночью не пойдет. Иначе с утра на работу не выйдем. Вот так работают коммунальные службы.'"
2283,дорожное хозяйство,"'Кому жаловаться на уборку дороги Кимовск Новольвовск? И когда будут посыпать чем то другим, а не грязью?'"
2285,дорожное хозяйство,"'Дороги не чистятся как положено, проехать машина проехала, а как была каша так и есть, песком только посыпали. Опасно ехать и ещё опаснее разъезжаться. Направление Кимовск - Новольвовск.'"
2286,дорожное хозяйство,"'Добрый день! Кто отвечает за расчистку площадки около трех палаток, где овощи? Вчера налетела на жёлтую шашку, которую под снегом даже не видно!! Машина помялась, с кого теперь мне спрашивать?? Ни обозначающих знаков, ни расчищенной площадки. Я специально сфоткала, что бы показвть, что эту жёлтую круглую шашку даже не видно под снегом.'"
2287,дорожное хозяйство,"'@Tularegion71 добрый день! Кимовский район, д. Вишневая дороги не чищены. Просьба принять меры!'"
2290,дорожное хозяйство,"'Добрый вечер.Вот пришла зима, как правило для дорожных служб не во время. Есть такой забытый богом м-он Дачный.Где людей из-за ремонта ГТС отрезали от прямого сообщения с городом.теперь и улицы перестали чистить от снега.только центральную прочистили для того что бы грунт вывозили с пруда'"
2292,дорожное хозяйство,"'Скажите пожалуйста, когда в городе будут думать о пешеходах? Почему не посыпают тротуары? Идти очень скользко, особенно в тёмное время, на вопрос где именно не посыпано, отвечаю - везде....'"
2293,дорожное хозяйство,"'Здравствуйте.Вопрос по поводу расчистки снега на дороге от Васильевского до бывшей 13 шахты.Знаете лучше б и не чистили,сделали из дороги стиральную доску,противогололедной смеси не рассыпано,скользко!!!А ведь там ездят не только частники но и автобус Липки-Тула и Бородинский-Липки.На авось надеялись когда расчищали дорогу?'"
2294,дорожное хозяйство,"'@Tularegion71 Город Киреевск, превратился в груды мокрого снега, на дорогах ""каша"". Никто ничего не чистит. За всю зиму первый снег, неужели нельзя очистить. Прошу разрешить<br>вопрос, о очистить город от мокрого снега. @Tularegion71'"
2297,дорожное хозяйство,"'Пос. Центральный ( Арсеньевского района ) никогда ни готов к зиме.Чистить некому,только сами жители ( у кого есть техника ) почистят то и есть.'"
2298,дорожное хозяйство,"Об уличном освещении д. Замарино. О ремонте дороги, моста в д. Замарино, г. Алексин."
2299,дорожное хозяйство,"О расчистке дорог от снега, ремонте моста в д. Замарино, г. Алексин. О несогласии с количеством спецтехники."
2300,дорожное хозяйство,"О ремонте подъездной дороги в д. Божениново, г. Алексин. О предоставлении документов о типе покрытия дороги. Об ответах на обращения."
2301,дорожное хозяйство,"'Алексинцам напоминают Водителям, что на улице Советской, рядом со 2-м мкр отсутствует тротуар. Пешеходы вынужденно ходят по проезжей части. Уважаемые водители, снижайте скорость! Давайте уважать друг друга!'"
2302,дорожное хозяйство,"Об обустройстве подъездной дороги к железнодорожной станции ""Романовские дачи"", Заокский район."
2303,дорожное хозяйство,"О ремонте, обработке противогололедными средствами дороги д. Азаровка - д. Покровское Заокского района."
2304,дорожное хозяйство,Об обустройстве пешеходного пешехода через овраг в с. Яковлево Заокского района.
2306,дорожное хозяйство,"'Здравствуйте.<br>Начало Новомосковского шоссе,сразу за мостом вот такой тротуар. Восемь (!) лет назад здесь была хоть какая-то дорожка,песчаная,но ходить можно было. Потом меняли бордюры,бросили их на этом тротуаре, ходить даже летом невозможно.<br>Пожалуйста, сделайте что-нибудь! !!'"
2308,дорожное хозяйство,"'Здравствуйте! Подскажите, пожалуйста, куда обратиться.<br>Проживаем п. Октябрьский (заречье). Тратуары по ул. Карпова от снега не чистят, также интересует тратуар находящийся у гипермаркета Зельгрос со стороны Александровского парка. К кому можно обратиться по данным вопросам?'"
2309,дорожное хозяйство,"О ликвидации лужи на придомовой территории жилого дома по адресу: Ленинский район, п. Плеханово, ул. Заводская, д. 13."
2310,дорожное хозяйство,"'@donskoy_71 @Tularegion71 Здравствуйте. Руслан Владимирович, тротуары города требуют Вашего внимания! Очень скользко! Настройте своевременную посыпку песком. Спасибо. pic.twitter.com/ND38KEBkdz'"
2311,дорожное хозяйство,"'@bva8921 @TU_Proletarsky @Tularegion71 Зимы ещё не было, а администрация уже не в состоянии содержать тротуары без наледи. Что же будет твориться если наступит настоящая Русская зима?'"
2312,дорожное хозяйство,"О постановке на баланс, организации уличного освещения дороги к жилым домам № 1Г, 1Б, 1В по ул. Строителей, г. Щекино."
2313,дорожное хозяйство,Об организации уличного освещения по ул. Суворова в с. Апухтино Одоевского района. Об установке дополнительных фонарей уличного освещения. О ремонте дороги.
2314,дорожное хозяйство,"Об ответе на обращение. О восстановлении пешеходного моста через реку Донец в д. Кропотово, Кимовский район. Об обустройстве металлической конструкции для пешеходной переправы через реку."
2315,дорожное хозяйство,"О сроках выполнения работ по ремонту дороги по ул. Жданка, с. Волово Воловского района. Об ответе на обращение."
2316,дорожное хозяйство,"Об организации съезда с трассы Тула-Венев в сторону д. Анишино, Новоселки, Рогово Веневского района. О несогласии с обустройством съезда за счет жителей. О безопасности дорожного движения."
2320,дорожное хозяйство,"'Хорошо бы тротуары сделать на улице Беклемищева,. в районе музея и напротив через дорогу, в преддверии 75 годовщины Великой Победы, ветеранам там, и всем остальным жителям города ходить очень трудно! Думаю,что на это потратить деньги было бы правильнее!'"
2321,дорожное хозяйство,Прошу Вас обеспечить необходимый контроль за ремонтом дороги около дома №26  на квартале 50т лет Октябпря в соотвествии тех. правилами ремонта дорог.
2322,дорожное хозяйство,"'Администрация вы думаете если на улице плюс и идеи дождь тротуары чистить не надо? Люди по лужам идут, дети с садика в воде утопают! Вы обнаглели в край, только хвалиться умеете, что купили технику, а техника по гаражам стоит! Не умеете вы уважать народ свой, а хотите уважения к себе! Завтра же позвоню на горячую линию губернаторшу и пожалуюсь на вас!'"
2323,дорожное хозяйство,"'И ещё не забыть тротуар там сделать, чтобы детям безопасно дорогу переходить'"
2324,дорожное хозяйство,'Здравствуйте по городу просто нереально ходить по асфальту по городу шею свернешь никто не заметит хоть бы посыпали ходишь как на коньках'
2325,дорожное хозяйство,"'Да, еще бы обратили на двор тульской д14 там где нет тратуара и все люди которые идут в главный парк идут про проезжей части , где ездиют машины, вот это круто , сами там по ходите.😱'"
2326,дорожное хозяйство,"'Добрый день! Во-первых, я не получил ответ на обращение от 31 декабря 2019 года.<br>Во-вторых хотел бы отметить, что этой зимой дороги и пешеходные зоны стали убираться лучше. Хочу обозначить проблемную точку: возле дома по проспекту Ленина 145 (магазин Дикси, отделение Сбербанка, Восток-Сервис, не со стороны подъездов) некачественно и не своевременно чистят снег. В итоге - снежная каша днём и гололёд вечером и утром. Прошу принять меры к хозяйствующим субъектам указанных территорий.'"
2327,дорожное хозяйство,'а у меня на Косом проезде ни разу в жизни не посыпали и асфальта там никогда не было.'
2329,дорожное хозяйство,"'Не работает пешеходный светофор на пересечении улиц Ложевая и Марата, уже 8-й день. Звонила и в УГИБДД и на Горячую линию губернатора, только ноль'"
2330,дорожное хозяйство,"'Мы уже более 10 лет неможем решить ни с одной инстанцией, оборудовать по человечески спуск к детсаду 13 и гимназии 1....только одни отписки от них ((( ..'"
2331,дорожное хозяйство,"'М2 опасный участок от Москвы до знака конец тульской области. За 10 лет ушатали в говно, кусками отремонтировали и радуются. Колею щебнем позасыпали, на мостах  об соеденительные уголки можно колеса разбить. Плюсом горбы через все полосы, переезжаешь их и слышно от подвески:ну нахер, я сваливаю! А мост через реку, где раньше пост гаи был,там на стыках умереть можно,профиля торчат на 5см и ямы вокруг профилей.'"
2332,дорожное хозяйство,"'Здравствуйте. Ежедневно езжу по ул. Белкина, за 34 школой. И просто слов нет от возмущения. Почему там до сих пор не организован тротуар для пешеходов. Дети, взрослые с детьми ходят по проезжей части. Утром, когда темно да ещё стоят машины к школе, там настоящий квест проезжать, чтобы никого не задеть.'"
2333,дорожное хозяйство,"'До 30 декабря вы должны были провести обследование указанного участка!<br>Где же результаты?<br>Ещё необходимо обратить внимание на тот факт, что этот переход сразу попадает на трамвайные пути и автомобильный переезд, что в данном случае просто недопустимо.'"
2334,дорожное хозяйство,'А когда начнут ремонт мостов в Туле это важнее для жизни города хотя у нас привыкли трепать языком и не чего не делать'
2335,дорожное хозяйство,"'Главное: ""согласно ПОДД организовано 2 полосы для движения"". Почему не 3 или 4, ведь ширина позволяет? Просто спец.организация, разработала максимально простой ПОДД, а @cityadmtula его утвердила. Как следствие, ещё и дальнейшие ошибки при расчете пропускной способности дорог...'"
2336,дорожное хозяйство,"'@cityadmtula @Tularegion71 Тот же участок. Ул. Плеханова перекресток с Кирова. Поставьте, пожалуйста, одну полусферу(обозначено красным) на пешеходной дорожке и ограничивающие столбики (оранжевый), чтобы исключить парковку на газоне. На данном участке всегда сыро и грязь будет постоянно. pic.twitter.com/WTn6GIaxOt'"
2337,дорожное хозяйство,"'@cityadmtula @Tularegion71 @cityadmtula @Tularegion71 перекресток Ложевая/Кирова. Шарик сдвинут (и бордюр разрушен), видимо при ДТП. С этими 4 полусферами неудобно ходить. Для предотвращения разворота по островку безопасности можно поставить один шарик посередине, а остальные убрать. pic.twitter.com/I0KzJiRpCj'"
2338,дорожное хозяйство,"'@Tularegion71 @Tularegion71 здравствуйте, Перекресток Марата/Ложевая не работает только один из 6 светофоров для пешеходов. pic.twitter.com/FjQpXqRDPB'"
2339,дорожное хозяйство,"'@TU_Proletarsky @Tularegion71 Хотелось бы добавить про проблему отсутствия ливневой системы, которая нужна на ул. Металлургов!Переходить проезжую часть по ул. Металлургов и не промочить ноги во время дождя невозможно!!!'"
2340,дорожное хозяйство,'@TU_Proletarsky @Tularegion71 Там вдоль бордюра выбоины. Стрелочками на ваших же фото указал. pic.twitter.com/YDzOt03L3h'
2341,дорожное хозяйство,'@Mobil2401 @Tularegion71 Зато на встречку можно выезжать. Сплошной разделительной не видно'
2342,дорожное хозяйство,'@GUCentrTula @Tularegion71 @GUCentrTula @Tularegion71 Орловский путепровод ... правая сторона моста в центр. Нарушение всех норм. Уже 3 день идёт ремонт кабельной канализации'
2344,дорожное хозяйство,"на трамвайной ост. ""ул. Чаплыгина"" (в сторону центра города) нет скамеек (демонтированы при замене покрытия)"
2345,дорожное хозяйство,"'ПРИМЕРНО ЗА 300 метров ДО СВЕТОФОРА ХОРОШО БЫ ОГРАНИЧИТЬ СКОРОСТЬ = 50 км / час и УСТАНОВИТЬ ЗНАК ""РЕГУЛИРУЕМЫЙ ПЕРЕКРЁСТОК"" !!'"
2346,дорожное хозяйство,"'скатайтесь на Песчаную, там нужен новый декор дороге, а то по старой уже фуры с трудом проезжают'"
2347,дорожное хозяйство,"'Эта дорожка идет мимо ДС8 и администрации. Эй, ответственные за посыпку, ждете пока кто нибудь себе руку сломает? По ней ежедневно водят детей в детский сад, ходят бабушки в пенсионный фонд и жители домов в гуме.<br /><br />#Алексин #АлексинСейчас #Новости #Слухи #ТульскаяОбласть #Тула'"
2348,дорожное хозяйство,"'Уважаемая администрация, ну займитесь Вы уже дорогами, сделайте хоть разметку, раз фонари не можете заменить, ну нихрена же не видно, где заканчивается твоя полоса и начинается встречная, знаки пешеходных переходов пока в темноте разберёшь (собственно как и другие) глаза сломаешь. Мы- водители хоть будем по разметке ориентироваться!!!'"
2349,дорожное хозяйство,"'Ну что дорогие земляки,новости о главном(прошёл снегопад,и вот так наша доблестная Дорожная служба почистила дороги (фото прилагаю).Главные дороги в ужасном состоянии!Начальника Дорожной службы мордой прокатить.Призываю Фёдорова П.Е,наказать ответственного по полной строгости!12.01.2020г время 5:20<br>#Алексин'"
2351,дорожное хозяйство,"'За то администрации города пофиг... несколько лет люди обращают внимание на этот переход, что его нужно обозначить световым индикатором или еще лучше светофор с кнопкой...есть пешеходы,нажали,загорелся красный для машин,прошли...нет людей,всегда зелёный для машин'"
2354,дорожное хозяйство,'На заводской рядом с электрикой в асфальте вырезали офигенную такую яму!На вчю полосу направления на магнит.Сейчас чуть в нее не въехал.Слава богу успел среагировать и обьехать по обочине!Какого простите х.. перед ней нет знака?Ждут пока кто то там колеса оставит?Что за халатность???'
2355,дорожное хозяйство,"'Здраствуйте скажите пожалуста , когда будет заделана яма на дороге на ул.Заводской возле магазина электрика.'"
2356,дорожное хозяйство,"'Здравствуйте! В Иваньково Ясногорского района на ул.Лесная новый дорожный знак сломался пополам, что это вандализм или некачественные материалы?'"
2357,дорожное хозяйство,'«Раскинулось море широко» (С) на выезде из города в сторону Денисово-Ревякино. Пешеходам можно только посочувствовать!'
2358,дорожное хозяйство,"'[club147239378|Ясногорский район], Вы опять же говорите про АВТОМОБИЛЬНЫЕ ДОРОГИ, а кто будет думать о пешеходах? Или нужды тех, кто ходит пешком не включаются в бюджет? Почему? Потому что мы не платим дорожный налог?<br />Почему нельзя сделать сделать узкую асфальтированую дорожку????'"
2359,дорожное хозяйство,"'@Tulaavtodor @Tularegion71 Здравствуйте! В Иваньково Ясногорского района на ул.Лесная новый дорожный знак сломался пополам, что это вандализм или некачественные материалы?<br>Прошу @Tulaavtodor принять меры. https://t.co/doRXob0A6h'"
2362,дорожное хозяйство,"'Это хорошо , конечно, что где то что-то делается.... ул.Лукашина, дом 10, казалось бы в центре.... но дорога у дома в ужасном состоянии.... как после бомбежки...... яма на яме.... а тротуара давно уже нет......😢'"
2363,дорожное хозяйство,"'А, Лукашина д. 11 ? В ужасном состоянии и дорога,и 🏡 двор!!!'"
2364,дорожное хозяйство,"'Пользоваться дорогой по с. Голощапово хочется всем. Гоняют по ней и комбайны, и трактора , и камазы, а подремонтировать и почистить снег некому. Пожалуйста обратите на это внимание. Э'"
2365,дорожное хозяйство,"'Уважаемая администрация и депутаты собрания, прошу Вас обосновать расположение  знака ""въезд запрещен"" по улице Гончарной, то что он был установлен во времена ""царствования"" начальника ГИБДД это и так всем понятно, какая необходимость ему сейчас там быть?'"
2367,дорожное хозяйство,"'Ну раз тема актуальна, предлагаю на второй части улицы Гончарной (та, что между переулком Школьным и улицей Урицкого) с обоих сторон повесить кирпич'"
2368,дорожное хозяйство,"'Здравствуйте. Я жительница деревне щепулина Богородицкого района. Живу в деревне более 20 лет. Дорог как не было так и нет. Мост который соединяет две стороны деревне разрушается. Воду нам отрезали и требуют за ремонт труб 300тысячь. У жителей нет таких денег. Прошу, ВаС. Рассмотреть и обратить внимание на мою просьбу.'"
2371,дорожное хозяйство,'Может в конце концов и там сделают нормальное освещение пешиходного перехода. Или ещё подождем пока пару человек на западный отвезут.'
2373,дорожное хозяйство,'А правда зачем . Перекресток Ленина и Пролетарской ямы воб ще п....здец. КАКОЙ ДАУН придумал - нахреначили еще б лежачих .'
2375,дорожное хозяйство,"'На перекрестке 14 декабря, сломался светофор, будьте аккуратны. Не забудьте с Дубровки главная.'"
2376,дорожное хозяйство,'Два светофора не работают:на 1000 мелочей и где сбербанк на ул. 14 Декабря!!!'
2377,дорожное хозяйство,"'Как вам установка смотрового линейного колодца около нашего дома???Администрацию и АРЦКО это очень даже устраивает!!!На мои вопросы о установке колодца не компетентных людей посылают.Твердят что это земля администрации.Колодец стоит на голой земле,без подушки(песок , щебень)между кольцами и грунтом оставили пустоты,вместо того,чтоб засыпать глиной, почвой.Колодец не герметичен,скоро весна ,талые воды будут затоплять колодец,там уже установили кран,значит скором времени ещё и без воды будем.Колодец частный,надзора над ним не было не во время корки и установки не сейчас.Колодец осыпается по радиусу он так и будет осыпаться,я переживаю безопасность жизнедеятельности мой семьи,пешеходов,транспортных средств.Что нарушены технические нарушения установки колодца это факт'"
2378,дорожное хозяйство,"'[club56015144|Тульская область], здравствуйте извените но незнаю к Каму обратиться у меня вопрос по поваду дорог есть пункт дороги от деревни Черняевка до деревни Щегловка там возят свёклу которую посадил товарковская организация Возвражденье и от той дороги остались руины как после бомбёжки в войну у меня вопрос как бабушкам за пенсией ездить и ходить если нет дороги. Там разве что толька можно сейчас передвигаться на тракторе больше некак, и ещё сейчас они научили ездить через ломовку и Мшищи я думаю что и там тоже будут руины а как нам обычным людям передвигаться то.'"
